Weapon,No. of Chars to Display (1 or 2),Ranged Animation to Use,Ranged Animation Enabled,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map)
IronSword,2,0xff,0xff,0x0,0x1,0x0,0x0
IronBlade,2,0xff,0xff,0x0,0x1,0x0,0x0
SteelSword,2,0xff,0xff,0x0,0x1,0x0,0x0
SilverSword,2,0xff,0xff,0x0,0x1,0x0,0x0
SlimSword,2,0xff,0xff,0x0,0x1,0x0,0x0
PoisonSword,2,0xff,0xff,0x0,0x1,0x0,0x0
BraveSword,2,0xff,0xff,0x0,0x1,0x0,0x0
LightBrand,2,0x1f,0x0,0x0,0x1,0x0,0x5
0xbc,2,0xff,0xff,0x0,0x1,0x0,0x0
Armorslayer,2,0xff,0xff,0x0,0x1,0x0,0x0
Rapier,2,0xff,0xff,0x0,0x1,0x0,0x0
ManiKatti,2,0xff,0xff,0x0,0x1,0x0,0x0
0xc0,2,0xff,0xff,0x0,0x1,0x0,0x0
KillingEdge,2,0xff,0xff,0x0,0x1,0x0,0x0
Lancereaver,2,0xff,0xff,0x0,0x1,0x0,0x0
Longsword,2,0xff,0xff,0x0,0x1,0x0,0x0
IronLance,2,0xff,0xff,0x0,0x1,0x0,0x0
SteelLance,2,0xff,0xff,0x0,0x1,0x0,0x0
SilverLance,2,0xff,0xff,0x0,0x1,0x0,0x0
SlimLance,2,0xff,0xff,0x0,0x1,0x0,0x0
PoisonLance,2,0xff,0xff,0x0,0x1,0x0,0x0
BraveLance,2,0xff,0xff,0x0,0x1,0x0,0x0
Javelin,2,0x3,0x0,0x0,0x1,0x0,0x0
Ridersbane,2,0xff,0xff,0x0,0x1,0x0,0x0
KillerLance,2,0xff,0xff,0x0,0x1,0x0,0x0
Axereaver,2,0xff,0xff,0x0,0x1,0x0,0x0
HeavySpear,2,0xff,0xff,0x0,0x1,0x0,0x0
ShortSpear,2,0x3,0x0,0x0,0x1,0x0,0x0
0xc3,2,0xff,0xff,0x0,0x1,0x0,0x0
IronAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
SteelAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
SilverAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
PoisonAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
BraveAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
HandAxe,2,0x1,0x0,0x0,0x1,0x0,0x0
0xbd,2,0xff,0xff,0x0,0x1,0x0,0x0
Hammer,2,0xff,0xff,0x0,0x1,0x0,0x0
KillerAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
Swordslayer,2,0xff,0xff,0x0,0x1,0x0,0x0
Swordreaver,2,0xff,0xff,0x0,0x1,0x0,0x0
DevilAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
Halberd,2,0xff,0xff,0x0,0x1,0x0,0x0
0xc4,2,0xff,0xff,0x0,0x1,0x0,0x0
0xc5,2,0xff,0xff,0x0,0x1,0x0,0x0
0xc6,2,0xff,0xff,0x0,0x1,0x0,0x0
IronBow,2,0x2,0x0,0x0,0x1,0x0,0x0
SteelBow,2,0x2,0x0,0x0,0x1,0x0,0x0
SilverBow,2,0x2,0x0,0x0,0x1,0x0,0x0
PoisonBow,2,0x2,0x0,0x0,0x1,0x0,0x0
KillerBow,2,0x2,0x0,0x0,0x1,0x0,0x0
BraveBow,2,0x2,0x0,0x0,0x1,0x0,0x0
ShortBow,2,0x2,0x0,0x0,0x1,0x0,0x0
Longbow,2,0x2,0x0,0x0,0x1,0x0,0x0
0xc7,2,0x2,0x0,0x0,0x1,0x0,0x0
Ballista,2,0x10,0x0,0x0,0x1,0x0,0x0
IronBallista,2,0x10,0x0,0x0,0x1,0x0,0x0
KillerBallista,2,0x10,0x0,0x0,0x1,0x0,0x0
Fire,2,0x16,0x0,0x0,0x1,0x0,0x2
Thunder,2,0x19,0x0,0x0,0x1,0x0,0x0
Fimbulvetr,2,0x1b,0x0,0x0,0x1,0x0,0x4
Elfire,2,0x17,0x0,0x0,0x1,0x0,0x2
Fenrir,2,0x25,0x0,0x0,0x1,0x0,0x1
Bolting,2,0x1a,0x0,0x0,0x1,0x0,0x0
0xbf,2,0x18,0x0,0x0,0x1,0x0,0x2
Lightning,2,0x1f,0x0,0x0,0x1,0x0,0x5
Divine,2,0x22,0x0,0x0,0x1,0x0,0x5
Purge,2,0x20,0x0,0x0,0x1,0x0,0x5
Flux,2,0x1d,0x0,0x0,0x1,0x0,0x1
Nosferatu,2,0x1e,0x0,0x0,0x1,0x0,0x1
Eclipse,2,0x24,0x0,0x0,0x1,0x0,0x1
Heal,2,0x26,0x0,0x89a4a54,0x1,0x0,0x0
Mend,2,0x27,0x0,0x89a4abc,0x1,0x0,0x0
Recover,2,0x28,0x0,0x89a4b24,0x1,0x0,0x0
Physic,2,0x29,0x0,0x89a4b8c,0x1,0x0,0x0
Fortify,1,0x2a,0x0,0x89a489c,0x0,0x1,0x0
Warp,2,0xfe,0xff,0x89a5214,0x0,0x0,0x0
Rescue,2,0xfe,0xff,0x89a5214,0x0,0x0,0x0
Restore,2,0x2c,0x0,0x89a4f44,0x0,0x0,0x0
Silence,2,0x2d,0x0,0x89a4ea4,0x0,0x0,0x0
Sleep,2,0x2e,0x0,0x89a4d64,0x0,0x0,0x0
TorchStaff,1,0xfe,0xff,0x89a4bf4,0x0,0x1,0x0
Hammerne,2,0x2f,0x0,0x89a4fcc,0x0,0x0,0x0
Berserk,2,0x30,0x0,0x89a4cc4,0x0,0x0,0x0
Unlock,1,0xfe,0xff,0x89a4c3c,0x0,0x2,0x0
Barrier,2,0x31,0x0,0x89a518c,0x0,0x0,0x0
HeroCrest,2,0x32,0x0,0x0,0x1,0x0,0x0
KnightCrest,2,0x32,0x0,0x0,0x1,0x0,0x0
OrionBolt,2,0x32,0x0,0x0,0x1,0x0,0x0
ElysianWhip,2,0x32,0x0,0x0,0x1,0x0,0x0
GuidingRing,2,0x32,0x0,0x0,0x1,0x0,0x0
MasterSeal,2,0x32,0x0,0x0,0x1,0x0,0x0
HeavenSeal,2,0x32,0x0,0x0,0x1,0x0,0x0
0xc1,2,0x32,0x0,0x0,0x1,0x0,0x0
OceanSeal,2,0x32,0x0,0x0,0x1,0x0,0x0
LunarBracelet,2,0x32,0x0,0x0,0x1,0x0,0x0
SolarBracelet,2,0x32,0x0,0x0,0x1,0x0,0x0
Vulnerary,1,0xfe,0xff,0x89a49fc,0x1,0x1,0x0
Vulnerary_2,1,0xfe,0xff,0x89a49fc,0x1,0x1,0x0
Elixir,1,0xfe,0xff,0x89a49a4,0x1,0x1,0x0
PureWater,1,0xfe,0xff,0x89a495c,0x0,0x1,0x0
TorchItem,1,0xfe,0xff,0x89a4bf4,0x0,0x1,0x0
Antitoxin,1,0xfe,0xff,0x89a4914,0x0,0x1,0x0
SteelBlade,2,0xff,0xff,0x0,0x1,0x0,0x0
SilverBlade,2,0xff,0xff,0x0,0x1,0x0,0x0
Wyrmslayer,2,0xff,0xff,0x0,0x1,0x0,0x0
Runesword,2,0x1e,0x0,0x0,0x1,0x0,0x0
Spear,2,0x3,0x0,0x0,0x1,0x0,0x0
0xc8,2,0x3,0x0,0x0,0x1,0x0,0x0
Tomahawk,2,0x1,0x0,0x0,0x1,0x0,0x0
Excalibur,2,0x35,0x0,0x0,0x1,0x0,0x4
0xb6,2,0x1c,0x0,0x0,0x1,0x0,0x4
Shine,2,0x33,0x0,0x0,0x1,0x0,0x5
Aura,2,0x37,0x0,0x0,0x1,0x0,0x5
0xc9,2,0x38,0x0,0x0,0x1,0x0,0x5
Luna,2,0x34,0x0,0x0,0x1,0x0,0x1
0xcb,2,0x36,0x0,0x0,0x1,0x0,0x1
0xbe,2,0x21,0x0,0x0,0x1,0x0,0x5
WretchedAir,2,0x47,0x0,0x0,0x1,0x0,0x2
0xca,2,0x39,0x0,0x0,0x1,0x0,0x1
FillasMight,2,0x3a,0x0,0x0,0x0,0x0,0x2
NinissGrace,2,0x3b,0x0,0x0,0x0,0x0,0x4
ThorsIre,2,0x3c,0x0,0x0,0x0,0x0,0x4
SetsLitany,2,0x3d,0x0,0x0,0x0,0x0,0x3
Shadowkiller,2,0xff,0xff,0x0,0x1,0x0,0x0
BrightLance,2,0xff,0xff,0x0,0x1,0x0,0x0
FiendCleaver,2,0xff,0xff,0x0,0x1,0x0,0x0
BeaconBow,2,0x2,0x0,0x0,0x1,0x0,0x0
WindSword,2,0x35,0x0,0x0,0x1,0x0,0x4
DragonAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
DemonShard,2,0xff,0xff,0x0,0x1,0x0,0x0
RottenClaw,2,0xff,0xff,0x0,0x1,0x0,0x0
FetidClaw,2,0xff,0xff,0x0,0x1,0x0,0x0
PoisonClaw,2,0xff,0xff,0x0,0x1,0x0,0x0
LethalTalon,2,0xff,0xff,0x0,0x1,0x0,0x0
SharpClaw,2,0xff,0xff,0x0,0x1,0x0,0x0
FireFang,2,0xff,0xff,0x0,0x1,0x0,0x0
HellFang,2,0xff,0xff,0x0,0x1,0x0,0x0
EvilEye,2,0x43,0x0,0x0,0x1,0x0,0x0
CrimsonEye,2,0x42,0x0,0x0,0x1,0x0,0x0
Stone,2,0x3e,0x0,0x89a4e04,0x1,0x0,0x0
Aircalibur,2,0x45,0x0,0x0,0x1,0x0,0x0
JunaFruit,2,0x3f,0x0,0x0,0x1,0x0,0x0
Gleipnir,2,0x41,0x0,0x0,0x1,0x0,0x1
Shadowshot,2,0x44,0x0,0x0,0x1,0x0,0x1
Naglfar,2,0x46,0x0,0x0,0x1,0x0,0x1
Shamshir,2,0xff,0xff,0x0,0x1,0x0,0x0
Sieglinde,2,0xff,0xff,0x0,0x1,0x0,0x0
Reginleif,2,0xff,0xff,0x0,0x1,0x0,0x0
DragonSpear,2,0xff,0xff,0x0,0x1,0x0,0x0
Vidofnir,2,0xff,0xff,0x0,0x1,0x0,0x0
Audhulma,2,0xff,0xff,0x0,0x1,0x0,0x0
Siegmund,2,0xff,0xff,0x0,0x1,0x0,0x0
Garm,2,0xff,0xff,0x0,0x1,0x0,0x0
Nidhogg,2,0x2,0x0,0x0,0x1,0x0,0x0
Hatchet,2,0x1,0x0,0x0,0x1,0x0,0x0
BattleAxe,2,0xff,0xff,0x0,0x1,0x0,0x0
Latona,1,0x2b,0x0,0x89a489c,0x0,0x1,0x0
Nightmare,2,0xff,0xff,0x89a481c,0x0,0x0,0x0
DemonLight,2,0x40,0x0,0x0,0x1,0x0,0x0
Ravager,2,0xff,0xff,0x0,0x1,0x0,0x0
DragonStone,2,0x13,0x0,0x0,0x1,0x0,0x0
